iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         18.897568678772114         21.74839477257948                   10.620548241165789                   3843.5652190563997                                 9.91979797979798                                     0.1829423787732939
1         18.897568678772114         21.74839477257948                   26.544051252929727                   3809.1222933228414                                 9.843434343434344                                     0.35966873537572364
2         18.897568678772114         21.74839477257948                   50.42073790916591                   3835.0894702199435                                 9.841818181818182                                     0.39984960672836206
3         18.897568678772114         21.74839477257948                   86.23671172893275                   3853.6254849627653                                 9.817171717171718                                     0.46151952007372127
4         18.897568678772114         21.74839477257948                   139.9701852131366                   3884.8768451271894                                 9.768686868686869                                     0.5675501864930506
5         18.897568678772114         21.74839477257948                   220.57977333764003                   3947.618301353679                                 9.723636363636365                                     0.6379021460777079
6         18.856347452923387         21.755315158377435                   341.50761137120907                   3840.3237707618414                                 9.709696969696969                                     0.6627122914874983
7         18.856347452923387         21.755315158377435                   522.8598069078105                   3766.476127707353                                 9.689292929292929                                     0.699688210722955
8         18.856347452923387         21.755315158377435                   794.8635569836521                   3685.3772615411003                                 9.689292929292929                                     0.7019617399141204
9         18.856347452923387         21.755315158377435                   1202.843918257257                   3614.2340334274572                                 9.685858585858586                                     0.6952268199807004
10         18.856347452923387         21.755315158377435                   1814.7644230931228                   3564.6545082666                                 9.664646464646465                                     0.7351004415435735
11         18.856347452923387         21.755315158377435                   2732.655432279148                   3565.568018255345                                 9.628686868686868                                     0.7901456195437127
12         18.856347452923387         21.85614677589159                   4109.510924380598                   3570.7473934384466                                 9.6610101010101                                     0.7398194540207284
13         18.856347452923387         21.85614677589159                   6174.790868042833                   3610.6151999466488                                 9.641414141414142                                     0.7690543516413197
14         18.856347452923387         21.85614677589159                   9272.75407123565                   3680.2248264323093                                 9.637373737373737                                     0.7770158241344189
15         17.000866610836965         21.85614677589159                   13919.69935591421                   3715.241264284247                                 9.612525252525252                                     0.8056921548788146
16         15.92155156998815         21.85614677589159                   20890.12298047972                   3788.244385200582                                 9.587878787878788                                     0.8434685636224524
17         15.92155156998815         21.85614677589159                   31345.820199016187                   3857.3672711232343                                 9.605858585858586                                     0.8139657157039195
18         15.92155156998815         21.85614677589159                   47029.36379226967                   3861.0113269125472                                 9.59131313131313                                     0.835752450228919
19         15.92155156998815         21.85614677589159                   70554.66567773417                   3888.9936729805063                                 9.60949494949495                                     0.814160937149476
20         15.92155156998815         21.85614677589159                   105842.61152573947                   3837.1419763231097                                 9.64080808080808                                     0.77107991807678
21         15.92155156998815         21.85614677589159                   158774.52902743718                   3859.819489531605                                 9.61939393939394                                     0.7917020575311566
22         15.92155156998815         21.85614677589159                   238172.39834281808                   3799.92703144454                                 9.522424242424242                                     0.9116222789405063
23         15.92155156998815         21.85614677589159                   357269.2032039773                   3807.1090582653305                                 9.534545454545455                                     0.907906899597213
24         15.92155156998815         21.85614677589159                   535914.4156345141                   3742.5326414396886                                 9.572323232323232                                     0.8620778559223546
25         15.92155156998815         21.85614677589159                   803882.207761233                   3684.487368560625                                 9.595555555555556                                     0.8288842953088776
26         15.92155156998815         21.85614677589159                   1205833.8586953713                   3579.775020901444                                 9.618383838383838                                     0.8019488512781536
27         15.92155156998815         21.85614677589159                   1808761.2905033268                   3652.9864305367437                                 9.633535353535354                                     0.7823804173370759
28         15.92155156998815         21.85614677589159                   2713152.457785736                   3576.5685449013395                                 9.594949494949494                                     0.828104207747835
29         15.92155156998815         21.85614677589159                   4069739.1710936762                   3598.445907657496                                 9.606868686868687                                     0.8113437531179012
30         15.92155156998815         21.85614677589159                   6104619.2510457095                   3678.113817582735                                 9.636969696969697                                     0.7757888270950171
31         15.92155156998815         21.85614677589159                   9156939.42572025                   3608.2809673799925                                 9.629090909090909                                     0.7826587073715078
32         15.92155156998815         21.85614677589159                   13735419.654015683                   3624.552457248532                                 9.661818181818182                                     0.74384215618803
33         15.92155156998815         21.85614677589159                   20603140.021748487                   3597.6210300869575                                 9.669494949494949                                     0.727399384808154
34         15.92155156998815         21.85614677589159                   30904720.57625807                   3653.214699701151                                 9.694747474747475                                     0.6979825602478162
35         15.92155156998815         21.85614677589159                   46357091.43101452                   3614.1753000849044                                 9.676363636363636                                     0.7213111964133873
36         15.92155156998815         21.85614677589159                   69535647.69636747                   3637.47065784026                                 9.672929292929293                                     0.725554375109716
37         15.92155156998815         21.85614677589159                   104303482.1116076                   3684.7468386365153                                 9.624444444444444                                     0.7942162425577699
38         15.92155156998815         21.85614677589159                   156455233.72761                   3682.8484434652305                                 9.607272727272727                                     0.8142145783059374
39         15.92155156998815         21.85614677589159                   234682861.14437363                   3722.8330696652997                                 9.598383838383839                                     0.8274415209371392
40         15.92155156998815         21.85614677589159                   352024302.33604103                   3639.643664743082                                 9.603636363636364                                     0.8225191757813345
41         15.92155156998815         21.85614677589159                   528036464.10306895                   3715.903100506538                                 9.633333333333333                                     0.7806876409327758
42         15.92155156998815         21.85614677589159                   792054706.7509986                   3719.292980130379                                 9.674949494949495                                     0.7170623376242715
43         15.92155156998815         21.85614677589159                   1188082070.7026215                   3662.9265490057414                                 9.63030303030303                                     0.7865782997695951
44         15.92155156998815         21.85614677589159                   1782123116.6121914                   3787.6927131582856                                 9.676767676767676                                     0.7243186923352769
45         15.92155156998815         21.85614677589159                   2673184685.50262                   3669.189201274302                                 9.663030303030302                                     0.7368669112914686
46         15.92155156998815         21.85614677589159                   4009777038.7773657                   3658.2120178908067                                 9.658787878787878                                     0.7436069723700562
47         15.92155156998815         21.85614677589159                   6014665568.69606                   3649.389598611389                                 9.57030303030303                                     0.857380711040897
48         15.92155156998815         21.85614677589159                   9021998363.589823                   3740.6180159103747                                 9.562222222222223                                     0.8710545375647241
49         15.92155156998815         21.85614677589159                   13532997555.92057                   3730.6010786132356                                 9.54949494949495                                     0.890031335547886
50         15.92155156998815         21.85614677589159                   20299496344.401604                   3618.660060636106                                 9.549696969696969                                     0.8849539513759181
51         15.92155156998815         21.85614677589159                   30449244527.084206                   3582.2819304247187                                 9.572323232323232                                     0.8594080637985422
52         15.92155156998815         21.85614677589159                   45673866801.119736                   3531.470544358195                                 9.598181818181818                                     0.8310586896617879
53         15.92155156998815         21.85614677589159                   68510800212.11888                   3524.204207980396                                 9.568282828282829                                     0.8655521500782151
54         15.92155156998815         21.85614677589159                   102766200328.64288                   3444.7121550140537                                 9.567070707070707                                     0.8633076689478633
55         15.92155156998815         21.85614677589159                   154149300503.39023                   3303.7528751619316                                 9.533939393939393                                     0.9051295283538289
56         15.92155156998815         21.85614677589159                   231223950765.4606                   3319.746045188146                                 9.512929292929293                                     0.9311098134276599
57         15.92155156998815         21.85614677589159                   346835926158.5835                   3426.2066721846913                                 9.546464646464646                                     0.8912220594931706
58         15.92155156998815         21.85614677589159                   520253889248.3054                   3370.8433490994626                                 9.542020202020202                                     0.8991903505060318
59         15.92155156998815         21.85614677589159                   780380833882.8428                   3294.391738274779                                 9.47090909090909                                     0.9762755945945908
60         15.92155156998815         21.85614677589159                   1170571250834.62                   3307.5968452644693                                 9.506262626262627                                     0.9326869186609397
61         15.92155156998815         21.85614677589159                   1755856876262.3076                   3349.608569417711                                 9.538787878787879                                     0.8983842730150641
62         15.92155156998815         21.85614677589159                   2633785314403.8384                   3403.996889765648                                 9.554949494949495                                     0.8818581096587471
