iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         95.0372970319007         305.2918234730948                   93.14427072919692                   611.5153533923183                                 9.931515151515152                                     0.12323185379455584
1         95.0372970319007         305.2918234730948                   226.51263263602777                   585.6403943203657                                 9.85919191919192                                     0.27086955314600225
2         82.850411723717         305.2918234730948                   420.7667967612015                   556.9663403831928                                 9.771515151515151                                     0.42295850247553246
3         82.850411723717         305.2918234730948                   705.9233308485914                   528.4424569750956                                 9.61070707070707                                     0.6677285900832829
4         82.850411723717         305.2918234730948                   1127.1511395081448                   502.30341336832885                                 9.513333333333334                                     0.8197447490811236
5         59.851568427783306         305.2918234730948                   1753.7470528026406                   494.6268785402281                                 9.307070707070707                                     1.0783552890286974
6         59.851568427783306         305.2918234730948                   2690.4658098871314                   458.6445881988999                                 9.073535353535354                                     1.2977037281932247
7         59.851568427783306         305.2918234730948                   4091.256605729427                   446.5848421890815                                 8.93010101010101                                     1.4235932741590362
8         59.851568427783306         305.2918234730948                   6191.161563112924                   432.67033678261674                                 8.709696969696969                                     1.5616769575492078
9         58.04413624680693         305.2918234730948                   9337.702268962303                   414.7565569238936                                 8.611919191919192                                     1.6084432711450496
10         53.95905123936684         305.2918234730948                   14055.39049010732                   408.7219429715106                                 8.658585858585859                                     1.5861328191520632
11         53.95905123936684         305.2918234730948                   21130.590018111237                   412.2506050409101                                 8.533939393939393                                     1.6317114646709812
12         53.95905123936684         305.2918234730948                   31741.152962714204                   399.0866368428636                                 8.432929292929293                                     1.6882345163097066
13         41.29232243431298         305.2918234730948                   47654.000865116206                   376.45636117679663                                 8.251111111111111                                     1.7543213552660972
14         41.29232243431298         305.2918234730948                   71519.76939531828                   378.1697318515463                                 8.258181818181818                                     1.7413218605661949
15         37.392555809740344         305.2918234730948                   107317.54221791509                   355.1097690169102                                 8.024848484848485                                     1.7850233545196073
16         37.392555809740344         305.2918234730948                   161011.49808720726                   356.17220795118084                                 7.983636363636363                                     1.796128500214719
17         32.298811915334724         305.2918234730948                   241551.78612048615                   336.7539225656765                                 7.757777777777778                                     1.8520984094089845
18         32.298811915334724         305.2918234730948                   362360.2177008735                   324.8344036259305                                 7.529696969696969                                     1.880595846480253
19         30.6321476187464         305.2918234730948                   543571.7495820016                   308.48261470862565                                 7.195757575757575                                     1.9020972861812355
20         30.415818489977806         305.2918234730948                   815387.1422247922                   305.90538474253447                                 7.114545454545454                                     1.8771233962580691
21         29.752729972308387         305.2918234730948                   1223108.789744862                   310.3638954594789                                 7.1195959595959595                                     1.884787233717935
22         29.752729972308387         305.2918234730948                   1834690.2458476177                   286.18090822989876                                 6.817171717171717                                     1.9458877871809908
23         29.752729972308387         305.2918234730948                   2752060.4393005865                   275.5559777018727                                 6.738585858585859                                     1.930790334535646
24         25.477095384204418         305.2918234730948                   4128115.102048439                   255.14898647771065                                 6.388686868686869                                     1.9398294118488846
25         25.477095384204418         305.2918234730948                   6192195.700762158                   254.62988450774043                                 6.185050505050505                                     1.9854816962718154
26         25.477095384204418         305.2918234730948                   9288316.450518511                   239.7514357451797                                 6.130909090909091                                     2.0390668291056597
27         25.477095384204418         305.2918234730948                   13932496.945393393                   224.71970491269207                                 5.6701010101010105                                     2.0841272451685198
28         24.953611938147986         305.2918234730948                   20898767.594971027                   210.74975315566007                                 5.071515151515151                                     2.0340446776066496
29         24.953611938147986         305.2918234730948                   31348171.870485444                   226.0404462369513                                 5.200404040404041                                     2.0491425295615113
30         24.73708844610603         305.2918234730948                   47022279.61143465                   215.1958302062594                                 5.057575757575758                                     1.9917954537975286
31         24.73708844610603         305.2918234730948                   70533438.99688193                   236.8930466666695                                 5.456161616161616                                     1.9622838437974393
32         24.73708844610603         305.2918234730948                   105800180.14116624                   239.97003289373336                                 5.476767676767677                                     1.9623727186603241
33         23.20414613528134         305.2918234730948                   158700290.46772763                   221.23522105019072                                 5.335151515151515                                     1.9028833859062286
34         21.120724596264488         305.2918234730948                   238050454.6231547                   216.31963522721668                                 5.296767676767677                                     1.9187030428242473
35         21.120724596264488         305.2918234730948                   357075699.9781247                   220.07000855338202                                 5.191111111111111                                     1.8876065570109823
36         21.120724596264488         305.2918234730948                   535613569.12166286                   189.96710909230032                                 4.978383838383839                                     1.8873948866695134
37         19.661135451378293         305.2918234730948                   803420369.938523                   194.540572979218                                 5.109090909090909                                     1.977938281150038
38         19.56522874152484         305.2918234730948                   1205130571.9478095                   206.67077493312823                                 4.921414141414141                                     1.93230970869076
39         15.933637427386932         305.2918234730948                   1807695874.5545657                   202.3815124143925                                 5.084444444444444                                     1.9178668468940723
40         15.933637427386932         305.2918234730948                   2711543828.1001883                   205.38737522374072                                 4.97010101010101                                     1.8523602170464508
41         15.010698069759565         305.2918234730948                   4067315758.0251236                   211.8785338186494                                 5.122424242424242                                     1.8826769742592584
42         15.010698069759565         305.2918234730948                   6100973652.501819                   228.913813171124                                 5.032929292929293                                     1.9356249955100862
43         14.486017882427072         305.2918234730948                   9151460495.430002                   201.56105838906228                                 4.696565656565657                                     1.8714112209960947
44         14.486017882427072         305.2918234730948                   13727190757.757898                   217.2900062409622                                 5.013535353535354                                     1.958354889967183
45         13.594740225911751         305.2918234730948                   20590786152.234344                   223.34795486581504                                 4.687070707070707                                     1.8299491715193528
46         13.594740225911751         305.2918234730948                   30886179243.01521                   213.11972255563546                                 4.572525252525253                                     1.848006677351544
47         12.195767450593413         305.2918234730948                   46329268878.58358                   202.72790258339316                                 4.277979797979798                                     1.793355858359716
48         12.195767450593413         305.2918234730948                   69493903331.6967                   186.81764216907015                                 4.204848484848485                                     1.847422672700967
49         11.928760220566291         305.2918234730948                   104240855009.79291                   187.3087926249721                                 3.9864646464646465                                     1.7563998523078157
50         11.928760220566291         305.2918234730948                   156361282527.17346                   204.7970250396229                                 4.0236363636363635                                     1.8804441835954144
51         11.928760220566291         305.2918234730948                   234541923804.62906                   180.34836534591977                                 3.725050505050505                                     1.8052763361531516
52         11.928760220566291         305.2918234730948                   351812885718.46405                   181.44519393198007                                 3.6492929292929293                                     1.8251505808873902
53         11.48122421566122         305.2918234730948                   527719328589.8683                   180.36514072354896                                 3.4806060606060605                                     1.8129782624789432
54         11.225924203194312         305.2918234730948                   791578992896.0769                   178.0231382876356                                 3.3935353535353534                                     1.814813444929596
55         10.986122643156806         305.2918234730948                   1187368489355.894                   155.2545090160115                                 3.2444444444444445                                     1.7556018890287144
