iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         264.0044969732638        0.0                                 0
1         264.0044969732638        0.0                                 0
2         273.67042696574293        0.0                                 0
3         272.0551643714721        0.0                                 0
4         272.0551643714721        0.0                                 0
5         273.73967682505827        0.0                                 0
6         267.8261806129734        0.0                                 0
7         256.2286707780736        0.0                                 0
8         256.2286707780736        0.0                                 0
9         246.14922897352957        0.0                                 0
10         246.14922897352957        0.0                                 0
11         248.33816274384284        0.0                                 0
12         248.33816274384284        0.0                                 0
13         265.15557042414304        0.0                                 0
14         265.15557042414304        0.0                                 0
15         264.89408225173247        0.0                                 0
16         253.0079704105283        0.0                                 0
17         253.0079704105283        0.0                                 0
18         270.98240829611956        0.0                                 0
19         257.7064948793093        0.0                                 0
20         257.7064948793093        0.0                                 0
21         258.56008847848113        0.0                                 0
22         261.34378476146907        0.0                                 0
23         249.76044572545214        0.0                                 0
24         249.76044572545214        2.23606797749979                                 5
25         249.76044572545214        0.0                                 0
26         239.01348623984532        0.0                                 0
27         239.01348623984532        0.0                                 0
28         239.3234836959172        0.0                                 0
29         239.3234836959172        0.0                                 0
30         239.10108597712198        0.0                                 0
31         235.89598915704318        0.0                                 0
32         233.703126053653        0.0                                 0
33         233.703126053653        0.0                                 0
34         246.73407947977657        0.0                                 0
35         246.73407947977657        0.0                                 0
36         256.082531710842        0.0                                 0
37         256.082531710842        0.0                                 0
38         267.0436937389794        0.0                                 0
39         267.144558517317        0.0                                 0
40         287.462919737725        0.0                                 0
41         288.36599009082664        0.0                                 0
42         295.879590684601        0.0                                 0
43         299.3772802912048        0.0                                 0
44         298.9728175967863        0.0                                 0
45         295.30651915071223        0.0                                 0
46         290.7442442760867        0.0                                 0
47         278.3090687958527        0.0                                 0
48         278.3090687958527        0.0                                 0
49         306.1838518322577        0.0                                 0
50         309.0547256509968        0.0                                 0
51         295.3685303136362        0.0                                 0
52         293.71595114785026        0.0                                 0
53         293.71595114785026        0.0                                 0
54         294.4784546506883        0.0                                 0
55         294.4784546506883        0.0                                 0
56         290.0779843276195        0.0                                 0
57         273.84554681109        0.0                                 0
58         269.7988427274293        0.0                                 0
59         269.37330251035877        0.0                                 0
60         269.37330251035877        0.0                                 0
61         276.31585394444045        0.0                                 0
62         278.3300687425321        0.0                                 0
63         276.6437608897124        0.0                                 0
64         276.6437608897124        0.0                                 0
65         279.8637914908673        0.0                                 0
66         268.0338209669429        0.0                                 0
67         267.67423179332167        0.0                                 0
68         267.67423179332167        0.0                                 0
69         274.1677278798478        0.0                                 0
70         260.62149266798247        0.0                                 0
71         256.29070602792945        0.0                                 0
72         256.29070602792945        0.0                                 0
73         264.0800450080567        0.0                                 0
74         252.3926817888159        0.0                                 0
75         252.12632883843685        0.0                                 0
76         242.56270404576335        0.0                                 0
77         242.56270404576335        2.23606797749979                                 5
78         242.10798535824253        0.0                                 0
79         230.08020249681772        0.0                                 0
80         230.08020249681772        0.0                                 0
81         230.19854735240838        0.0                                 0
82         228.25862566234852        0.0                                 0
83         228.25412251639        0.0                                 0
84         228.22272488264446        0.0                                 0
85         228.22272488264446        0.0                                 0
86         226.77295623337224        0.0                                 0
87         226.77295623337224        0.0                                 0
88         227.58646253288347        2.23606797749979                                 5
89         221.6399067574101        0.0                                 0
90         221.6399067574101        0.0                                 0
91         216.001399822004        0.0                                 0
92         212.72947465886273        0.0                                 0
93         210.37478751188522        0.0                                 0
94         210.37478751188522        0.0                                 0
95         211.40967391868034        0.0                                 0
96         213.33123954200613        2.23606797749979                                 5
97         213.33058187030085        0.0                                 0
98         207.26001191943678        0.0                                 0
99         194.15077368629997        0.0                                 0
100         190.88243330793932        0.0                                 0
101         190.88243330793932        2.23606797749979                                 5
102         186.7562384373511        0.0                                 0
103         186.7562384373511        2.23606797749979                                 5
104         186.7562384373511        2.23606797749979                                 5
105         186.23483262914021        0.0                                 0
106         184.1281737990345        0.0                                 0
107         180.7320480563345        0.0                                 0
108         180.7320480563345        2.23606797749979                                 5
109         180.7320480563345        2.23606797749979                                 5
110         180.6846643471655        0.0                                 0
111         179.0410144337646        0.0                                 0
112         174.03653051466532        0.0                                 0
113         169.71084902154362        0.0                                 0
114         169.71084902154362        2.23606797749979                                 5
115         169.71084902154362        2.23606797749979                                 5
116         169.71084902154362        0.0                                 0
117         169.89773106204407        2.23606797749979                                 5
118         169.89773106204407        0.0                                 0
119         169.42128149107023        0.0                                 0
120         169.42128149107023        2.23606797749979                                 5
121         169.42128149107023        2.23606797749979                                 5
122         169.42128149107023        2.23606797749979                                 5
123         169.42128149107023        2.23606797749979                                 5
124         169.42128149107023        2.23606797749979                                 5
125         168.4362010527723        0.0                                 0
126         168.4362010527723        2.23606797749979                                 5
127         168.4362010527723        2.23606797749979                                 5
128         168.4362010527723        2.23606797749979                                 5
129         168.4362010527723        2.23606797749979                                 5
130         168.4362010527723        2.23606797749979                                 5
131         168.4362010527723        0.0                                 0
132         168.1483404008485        0.0                                 0
133         164.58473173103874        0.0                                 0
134         164.58473173103874        2.23606797749979                                 5
135         163.6091248855413        0.0                                 0
136         163.6091248855413        0.0                                 0
137         164.52485616651484        2.23606797749979                                 5
138         164.52485616651484        2.23606797749979                                 5
139         164.52485616651484        2.23606797749979                                 5
140         164.52485616651484        2.23606797749979                                 5
141         164.52485616651484        2.23606797749979                                 5
142         159.89392751360072        0.0                                 0
143         152.97886522945186        0.0                                 0
144         152.97886522945186        0.0                                 0
145         153.1509022599389        2.23606797749979                                 5
146         153.1509022599389        2.23606797749979                                 5
147         153.1509022599389        2.23606797749979                                 5
148         153.1509022599389        2.23606797749979                                 5
149         153.1509022599389        2.23606797749979                                 5
