iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         1121.118030865341         9439.863321609331                   2171.369961856864                   244.5806395884282                                 9.888118811881188                                     0.23050998743092957
1         603.1040817067292         11482.692783825618                   4890.344385971446                   223.4075703006567                                 9.659405940594059                                     0.6766334371654026
2         192.53903397997982         11516.621935502737                   8693.803066450459                   207.58226220980401                                 9.426732673267328                                     1.0101448041353382
3         192.53903397997982         11516.621935502737                   14107.830564576336                   193.42188259793878                                 8.944158415841585                                     1.4171328157347147
4         192.53903397997982         11516.621935502737                   22037.407425168978                   173.09596153172942                                 8.458019801980198                                     1.654043334961646
5         192.53903397997982         11516.621935502737                   33709.99737759998                   155.6311048072171                                 8.03029702970297                                     1.7283586144315846
6         148.77382372801497         11516.621935502737                   51111.60242331121                   143.95017436195366                                 8.033861386138614                                     1.7161244177865937
7         145.61589623597902         11516.621935502737                   77114.549184059                   139.2510338560721                                 8.028712871287128                                     1.63376105324905
8         145.61589623597902         11516.621935502737                   116077.06821176756                   141.29788096473402                                 8.05960396039604                                     1.628037381433509
9         129.7928228593816         11516.621935502737                   174542.12027547677                   142.32623227150242                                 8.118217821782178                                     1.6766711931103808
10         129.7928228593816         11516.621935502737                   262261.3750232243                   131.37179610180777                                 8.14039603960396                                     1.6611773972228174
11         76.27671754395718         11516.621935502737                   393768.99228338245                   137.9592158964467                                 8.295049504950494                                     1.616357025821626
12         76.27671754395718         11516.621935502737                   591045.6251902522                   136.20326021639775                                 8.085148514851484                                     1.6344299242813076
13         76.27671754395718         11516.621935502737                   886911.2038057339                   132.89136445575951                                 7.975643564356436                                     1.7082374842210573
14         62.09265256589823         11516.621935502737                   1330679.5898163603                   131.3900973834548                                 7.5928712871287125                                     1.8126732489381134
15         62.09265256589823         11516.621935502737                   1996354.1541135225                   115.59812822931775                                 6.517623762376237                                     2.003067348545065
16         52.59051635291444         11516.621935502737                   2994805.468250268                   118.49890286390527                                 6.197623762376238                                     2.003730840044561
17         52.59051635291444         11516.621935502737                   4492493.596346512                   110.9742423897865                                 5.792475247524752                                     1.9708570753470105
18         50.895555217345866         11516.621935502737                   6739002.49705418                   105.03151205574453                                 5.522970297029703                                     1.9515957257307537
19         46.202173505039745         11516.621935502737                   10108750.805061786                   106.08464577885664                                 5.321386138613861                                     1.9038079890313226
20         42.933466668128105         11516.621935502737                   15163406.454613127                   108.12787664295355                                 5.363762376237624                                     1.8453834825199291
21         42.933466668128105         11516.621935502737                   22745368.683446094                   107.4446376080492                                 5.339207920792079                                     1.871748833102246
22         42.933466668128105         11516.621935502737                   34118316.32201238                   95.40079583591258                                 5.148118811881188                                     1.785712977291381
23         41.22662060933179         11516.621935502737                   51177674.38699769                   98.61329389160402                                 5.164554455445544                                     1.7901769651064545
24         38.85828118965386         11516.621935502737                   76766719.69405156                   102.2498809544436                                 5.218019801980198                                     1.8548549372960224
25         38.85828118965386         11516.621935502737                   115150316.68616274                   121.43122802771336                                 5.326930693069307                                     1.8579086762401604
26         34.58032420744306         11516.621935502737                   172725776.2894446                   104.57523281612664                                 5.051881188118812                                     1.7748777066503394
27         34.58032420744306         11516.621935502737                   259088899.5675071                   107.60702314688672                                 4.973069306930693                                     1.7749300256281868
28         34.58032420744306         11516.621935502737                   388633574.17811775                   94.5294195919339                                 4.842574257425743                                     1.8143322701807263
29         26.422412802313897         11516.621935502737                   582950519.5408349                   112.8183586388514                                 5.295247524752475                                     1.7662244650188603
30         26.422412802313897         11516.621935502737                   874426027.0196472                   109.5435024294004                                 5.471089108910891                                     1.834540002239736
31         26.123950516860162         11516.621935502737                   1311639263.1146688                   113.54129585332981                                 5.457227722772277                                     1.8558135550824981
32         24.638719320190646         11516.621935502737                   1967459135.5670059                   117.10180030545519                                 5.652673267326732                                     1.7122449355226077
33         23.72766216588022         11516.621935502737                   2951188935.451296                   114.96410750306873                                 5.898415841584159                                     1.8542458316833104
34         20.810321600305404         11516.621935502737                   4426783624.251116                   111.90949436244792                                 5.497821782178218                                     1.8719043660146695
35         20.359466984637237         11516.621935502737                   6640175652.337551                   109.76375622298217                                 5.338811881188119                                     1.872638398002979
36         20.359466984637237         11516.621935502737                   9960263682.536676                   114.12073648549759                                 5.462178217821783                                     1.8539805143600758
37         20.359466984637237         11516.621935502737                   14940395728.38968                   104.49502663687059                                 5.009108910891089                                     1.845537240918329
38         20.359466984637237         11516.621935502737                   22410593767.543022                   113.27330548132704                                 5.261386138613862                                     1.907578600305849
39         20.166225418231026         11516.621935502737                   33615890897.359806                   102.71401751831554                                 4.644158415841584                                     1.8853653278339144
40         20.166225418231026         11516.621935502737                   50423836514.42734                   103.14172173703439                                 4.476633663366337                                     1.8567391382519876
41         18.581376559598095         11516.621935502737                   75635754963.14926                   107.07890989094919                                 4.87009900990099                                     1.908276716394487
42         18.581376559598095         11516.621935502737                   113453632645.51285                   102.86994869821753                                 5.1                                     1.8807572621260413
43         13.971947171827269         11516.621935502737                   170180449186.83017                   115.80816197724639                                 5.516237623762376                                     1.8623313369793286
44         10.528312434204658         11516.621935502737                   255270674004.5213                   119.87524215537687                                 5.157425742574257                                     1.8800217537364696
45         10.528312434204658         11516.621935502737                   382906011257.9093                   105.36401357584873                                 5.024356435643564                                     1.9129229348749517
46         7.064675068783551         11516.621935502737                   574359017067.5863                   104.29078398137523                                 5.154851485148515                                     1.8885619737535575
47         6.230857553464357         11516.621935502737                   861538525821.7268                   103.83830149817476                                 4.641782178217822                                     1.933131590459787
48         6.230857553464357         11516.621935502737                   1292307788949.6228                   88.78244045901924                                 4.173663366336633                                     1.9685712376475701
49         6.230857553464357         11516.621935502737                   1938461683596.7432                   96.98221226319187                                 3.59009900990099                                     1.8159732214830724
50         6.230857553464357         11516.621935502737                   2907692525601.106                   87.76435813391315                                 3.1784158415841586                                     1.9004864504877759
51         6.230857553464357         11516.621935502737                   4361538788577.1235                   104.00877948811822                                 3.2372277227722774                                     1.7988328486693876
52         6.230857553464357         11516.621935502737                   6542308183095.666                   80.15861396629649                                 2.74970297029703                                     1.814721432379822
53         6.230857553464357         11516.621935502737                   9813462274841.545                   82.33711838774681                                 2.4586138613861386                                     1.678214865768622
54         6.230857553464357         11516.621935502737                   14720193412429.51                   82.29001763441781                                 2.2994059405940592                                     1.6728444565905616
55         6.230857553464357         11516.621935502737                   22080290118829.445                   89.14916685141888                                 2.678019801980198                                     1.753675950617651
56         5.870875812520587         11516.621935502737                   33120435178442.47                   91.88087465658293                                 2.803960396039604                                     1.7617900854403628
57         4.155342485845051         11516.621935502737                   49680652767919.07                   84.76554339585253                                 2.8643564356435642                                     1.662912335881839
58         4.155342485845051         11516.621935502737                   74520979152074.45                   81.87087382082665                                 3.021188118811881                                     1.6835854652843936
59         4.155342485845051         11516.621935502737                   111781468728293.9                   94.71670756531874                                 3.0433663366336634                                     1.7850651223114065
60         3.9674098503860504         11516.621935502737                   167672203092654.16                   69.9262626349434                                 2.617821782178218                                     1.6535252921895824
61         3.876970479931103         11516.621935502737                   251508304639084.44                   92.65589248118518                                 3.190891089108911                                     1.651399917216668
62         3.522393860583048         11516.621935502737                   377262456958824.6                   87.06405363579147                                 3.372079207920792                                     1.6736858551072102
63         3.522393860583048         11516.621935502737                   565893685438415.9                   88.87087157611026                                 3.506138613861386                                     1.6853942125036026
64         3.522393860583048         11516.621935502737                   848840528157797.8                   86.4206253318327                                 3.5356435643564357                                     1.80550185615367
65         3.522393860583048         11516.621935502737                   1273260792236896.2                   93.56412004981334                                 3.598019801980198                                     1.7674055884855084
66         3.522393860583048         11516.621935502737                   1909891188355556.5                   80.16542640361223                                 3.419207920792079                                     1.7691116944841079
67         3.522393860583048         11516.621935502737                   2864836782533494.5                   88.10109598237939                                 3.3457425742574256                                     1.6931666037608077
68         3.522393860583048         11516.621935502737                   4297255173800432.0                   85.22445012545467                                 3.445148514851485                                     1.7640060040674068
69         3.522393860583048         11516.621935502737                   6445882760700830.0                   84.14210188553672                                 3.354059405940594                                     1.7490879741332641
70         3.522393860583048         11516.621935502737                   9668824141051406.0                   86.11705894627934                                 3.4146534653465346                                     1.7874439143300376
71         3.522393860583048         11516.621935502737                   1.4503236211577314e+16                   86.58111349036064                                 3.3514851485148514                                     1.7604203169419719
72         3.522393860583048         11516.621935502737                   2.175485431736614e+16                   91.82686761666339                                 3.1815841584158417                                     1.8179852108326628
73         3.522393860583048         11516.621935502737                   3.263228147604945e+16                   88.8504308924111                                 2.8714851485148514                                     1.7608086725277108
74         3.522393860583048         11516.621935502737                   4.894842221407436e+16                   81.28266140365781                                 2.7556435643564354                                     1.793411220430672
75         3.071987312053613         11516.621935502737                   7.342263332111165e+16                   80.61796933026817                                 2.7081188118811883                                     1.7770125114263087
76         3.071987312053613         11516.621935502737                   1.1013394998166762e+17                   92.52457141948449                                 2.9815841584158416                                     1.65283353357209
77         3.071987312053613         11516.621935502737                   1.6520092497250154e+17                   93.26533033821903                                 3.1835643564356437                                     1.7932309759060683
78         3.071987312053613         11516.621935502737                   2.478013874587524e+17                   93.8039922785585                                 3.2966336633663365                                     1.81354761953387
79         3.071987312053613         11516.621935502737                   3.7170208118812864e+17                   94.52339491273509                                 3.0801980198019803                                     1.7808683388508284
80         3.071987312053613         11516.621935502737                   5.57553121782193e+17                   93.97776437928478                                 2.7994059405940592                                     1.7276439072969867
