iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         948.3945272650043         10828.194393636995                   2404.8072030176763                   231.72337504402722                                 9.898787878787878                                     0.16761133414706805
1         756.0215512494201         10828.194393636995                   5145.920227151662                   213.44742401766632                                 9.715555555555556                                     0.4636721227152019
2         613.9086205397701         10828.194393636995                   8880.657367842363                   198.3350078070672                                 9.446868686868687                                     0.8595827400831717
3         593.8891374061768         10828.194393636995                   14197.488862182776                   183.7969528219772                                 9.138181818181819                                     1.1709982036091189
4         439.31717715457313         10828.194393636995                   22000.51658934772                   172.06021392033716                                 8.858383838383839                                     1.4344589532091263
5         437.86494542919434         10828.194393636995                   33604.21274246597                   162.25985984159416                                 8.885454545454545                                     1.4513572775176165
6         347.7950932250784         10828.194393636995                   50896.749273652604                   161.42161131111706                                 8.934747474747475                                     1.4181113381500512
7         169.50756962227         10828.194393636995                   76819.49275866183                   152.90805203794812                                 8.773939393939393                                     1.5162001696560723
8         169.50756962227         10828.194393636995                   115608.32395265569                   146.6196308043121                                 8.712323232323232                                     1.5487641481194596
9         169.50756962227         10828.194393636995                   173741.80207221833                   146.55008579630913                                 8.764040404040404                                     1.5263607298365776
10         169.50756962227         10828.194393636995                   260964.85546092206                   138.66830872784453                                 8.653535353535354                                     1.583403801330564
11         169.50756962227         10828.194393636995                   391741.2789307229                   128.53852808807466                                 8.55090909090909                                     1.6385355772016705
12         169.50756962227         10828.194393636995                   587899.2899097673                   125.00831664808511                                 8.374747474747474                                     1.712316407638678
13         94.61562202302545         10828.194393636995                   882096.4222679955                   120.30561568407173                                 8.243434343434343                                     1.7696474800325863
14         94.61562202302545         10828.194393636995                   1323379.0285088392                   117.89845832881467                                 8.107676767676768                                     1.788969893363636
15         94.61562202302545         10828.194393636995                   1985311.900330046                   114.4546405138408                                 8.033939393939393                                     1.8131922613113223
16         48.557293285346326         10828.194393636995                   2978182.360362568                   105.20323101636009                                 7.81979797979798                                     1.8852406180774635
17         48.557293285346326         10828.194393636995                   4467424.666816669                   103.17605086470017                                 7.375555555555556                                     1.9854763172131928
18         48.557293285346326         10828.194393636995                   6701313.678344244                   94.89726481532416                                 6.787878787878788                                     2.0662439205117518
19         48.557293285346326         10828.194393636995                   10052140.32659165                   92.84294142684288                                 6.1995959595959595                                     2.0642127714022447
20         48.557293285346326         10828.194393636995                   15078381.293638632                   83.10141009859231                                 5.602828282828283                                     2.1162694013507517
21         46.16898492964586         10828.194393636995                   22617732.718857545                   76.55621422222754                                 5.405454545454545                                     2.1071119566604164
22         37.07746542171323         10828.194393636995                   33926748.06589395                   62.43410742985673                                 4.53030303030303                                     2.101149880506974
23         37.07746542171323         10828.194393636995                   50890264.274735555                   65.03142739088936                                 4.414343434343435                                     2.0194057135449435
24         37.07746542171323         10828.194393636995                   76335546.26003382                   64.69234668307887                                 4.374141414141414                                     2.0592995916344567
25         37.07746542171323         10828.194393636995                   114503481.12302771                   55.495454518390254                                 3.803030303030303                                     1.9666112695419804
26         37.07746542171323         10828.194393636995                   171755357.11974335                   49.50072103358159                                 3.551111111111111                                     1.8873328115004073
27         37.07746542171323         10828.194393636995                   257633132.33117396                   51.91599457464844                                 3.7844444444444445                                     1.8849224230421726
28         37.07746542171323         10828.194393636995                   386449827.40503407                   50.54185897154503                                 3.6925252525252525                                     1.9003916909049543
29         37.07746542171323         10828.194393636995                   579674849.2390041                   53.47746502410277                                 3.8945454545454545                                     1.9301984467588225
30         28.495089844672925         10828.194393636995                   869512384.0035442                   57.93406692681301                                 3.5464646464646465                                     1.9603379766942104
31         28.495089844672925         10828.194393636995                   1304268725.3616807                   54.43425798638687                                 3.7888888888888888                                     1.8708262298011267
32         28.495089844672925         10828.194393636995                   1956403217.7147264                   56.204214035568356                                 4.007474747474747                                     1.8888122776532044
33         28.495089844672925         10828.194393636995                   2934604942.5152197                   53.319443077051154                                 4.2402020202020205                                     1.9567118699497847
34         19.445516669318966         10828.194393636995                   4401907524.728762                   57.075332380892426                                 4.297777777777778                                     1.8932342993518632
35         19.445516669318966         10828.194393636995                   6602861415.429962                   51.20775157835328                                 4.349292929292929                                     1.8069237230914532
36         19.445516669318966         10828.194393636995                   9904292214.788483                   60.85736021134181                                 4.641818181818182                                     1.843926729432625
37         19.445516669318966         10828.194393636995                   14856438495.343037                   55.76437352113546                                 4.941010101010101                                     1.8902774122830757
38         19.445516669318966         10828.194393636995                   22284657845.735706                   56.323339026593196                                 5.012929292929293                                     1.8882447462495269
39         18.149805568069116         10828.194393636995                   33426986901.20708                   50.64512988225242                                 5.0741414141414145                                     1.9028798797320463
40         18.149805568069116         10828.194393636995                   50140480435.81963                   53.052440499986545                                 5.216565656565656                                     1.9139029366355442
41         18.149805568069116         10828.194393636995                   75210720761.77899                   56.55482146965792                                 5.238989898989899                                     1.9141645684789865
