iteracion  mejor_solucion    distancia_euclidiana                 distancia_hamming
0         3886.6595709754556        0.0                                 0
1         3886.6595709754556        0.0                                 0
2         3961.1123851633215        0.0                                 0
3         3376.9769992485644        0.0                                 0
4         3372.054135309225        0.0                                 0
5         3372.054135309225        0.0                                 0
6         3526.95955757266        0.0                                 0
7         3527.3967863902435        2.23606797749979                                 5
8         3526.4522493686472        0.0                                 0
9         3526.4522493686472        0.0                                 0
10         3702.0601360079327        0.0                                 0
11         3702.0601360079327        0.0                                 0
12         3707.7940889644083        0.0                                 0
13         3713.641096628019        0.0                                 0
14         3709.635738581315        0.0                                 0
15         3709.635738581315        0.0                                 0
16         3870.8222163928535        0.0                                 0
17         3859.9229633282034        0.0                                 0
18         3858.086814897606        0.0                                 0
19         3824.36806273577        0.0                                 0
20         3824.36806273577        0.0                                 0
21         3846.478583220012        2.23606797749979                                 5
22         3730.5205650270823        0.0                                 0
23         3700.7584676831902        0.0                                 0
24         3700.7584676831902        2.23606797749979                                 5
25         3700.7584676831902        0.0                                 0
26         3709.8434482399507        0.0                                 0
27         3829.5613768586863        0.0                                 0
28         3811.686076962317        0.0                                 0
29         3811.686076962317        0.0                                 0
30         3601.637333891453        0.0                                 0
31         3601.637333891453        0.0                                 0
32         3617.111603464566        2.23606797749979                                 5
33         3589.9560271996224        0.0                                 0
34         3553.316726461718        0.0                                 0
35         3553.316726461718        2.23606797749979                                 5
36         3553.316726461718        2.23606797749979                                 5
37         3553.316726461718        0.0                                 0
38         3565.328807297376        2.23606797749979                                 5
39         3561.9159090525386        0.0                                 0
40         3561.9159090525386        0.0                                 0
41         3430.447454702505        0.0                                 0
42         2767.0148820190243        0.0                                 0
43         2757.0216602984824        0.0                                 0
44         2289.6216545646853        0.0                                 0
45         2217.6421145564773        0.0                                 0
46         2216.7158673547274        0.0                                 0
47         2215.3097980893126        0.0                                 0
48         2215.3097980893126        2.23606797749979                                 5
49         1802.1608052306938        0.0                                 0
50         1802.1608052306938        0.0                                 0
51         1793.935290794696        0.0                                 0
52         1793.935290794696        0.0                                 0
53         1823.0872080904353        2.23606797749979                                 5
54         1823.0872080904353        0.0                                 0
55         1823.2785631056117        2.23606797749979                                 5
56         1756.5933216296187        0.0                                 0
57         1732.1098069246495        0.0                                 0
58         1732.1098069246495        2.23606797749979                                 5
59         1731.8870582090697        0.0                                 0
60         1731.8870582090697        2.23606797749979                                 5
61         1731.8870582090697        2.23606797749979                                 5
62         1731.8870582090697        2.23606797749979                                 5
63         1731.8870582090697        0.0                                 0
64         1791.9864110668257        2.23606797749979                                 5
65         1791.9864110668257        2.23606797749979                                 5
66         1791.9864110668257        2.23606797749979                                 5
67         1791.9864110668257        1.7320508075688772                                 3
68         1791.9864110668257        2.23606797749979                                 5
69         1791.9864110668257        2.23606797749979                                 5
70         1761.8501356394872        0.0                                 0
71         1761.8501356394872        0.0                                 0
72         1747.799764944952        0.0                                 0
73         1725.9108858382526        0.0                                 0
74         1535.8882773136627        0.0                                 0
75         1535.8882773136627        0.0                                 0
76         1511.865836916559        0.0                                 0
77         1500.7676968441158        0.0                                 0
78         1500.7646246158959        0.0                                 0
79         1497.927455200946        0.0                                 0
80         1497.927455200946        2.23606797749979                                 5
81         1470.982369827016        0.0                                 0
82         1457.3236047365995        0.0                                 0
83         1456.7847686685427        0.0                                 0
84         1456.2967958845436        0.0                                 0
85         1453.0723700618553        0.0                                 0
86         1453.0630924173481        0.0                                 0
87         1453.0630924173481        0.0                                 0
88         1453.9876750979597        2.23606797749979                                 5
89         1383.5720499551057        0.0                                 0
90         1383.5720499551057        2.23606797749979                                 5
91         1383.5720499551057        2.23606797749979                                 5
92         1383.5720499551057        2.23606797749979                                 5
93         1383.5720499551057        0.0                                 0
94         1387.0133044753481        2.23606797749979                                 5
95         1384.5372360778138        0.0                                 0
96         1384.5372360778138        2.23606797749979                                 5
97         1384.5372360778138        2.23606797749979                                 5
98         1250.3607802039464        0.0                                 0
99         1239.0717090713297        0.0                                 0
100         1238.459079408789        0.0                                 0
101         1238.459079408789        2.23606797749979                                 5
102         1230.5441935930387        0.0                                 0
103         1037.642674025449        0.0                                 0
104         1037.642674025449        2.23606797749979                                 5
105         1037.642674025449        0.0                                 0
106         1038.0325339019282        2.23606797749979                                 5
107         1038.0325339019282        2.23606797749979                                 5
108         1019.9098601747198        0.0                                 0
109         1018.995552752514        0.0                                 0
110         1018.995552752514        0.0                                 0
111         1018.9723681117601        0.0                                 0
112         1012.8267405842033        0.0                                 0
113         1012.2565737824829        0.0                                 0
114         1012.2565737824829        2.23606797749979                                 5
115         899.561631026104        0.0                                 0
116         891.5813087900223        0.0                                 0
117         891.5813087900223        2.23606797749979                                 5
118         891.5813087900223        0.0                                 0
119         893.478420933214        2.23606797749979                                 5
120         893.478420933214        2.23606797749979                                 5
121         893.478420933214        0.0                                 0
122         726.9146900633111        0.0                                 0
123         726.9146900633111        2.23606797749979                                 5
124         724.9446794607609        0.0                                 0
125         724.9446794607609        2.23606797749979                                 5
126         724.9446794607609        2.23606797749979                                 5
127         724.9446794607609        2.23606797749979                                 5
128         696.243925480801        0.0                                 0
129         695.7816644558424        0.0                                 0
130         693.2847535052933        0.0                                 0
131         693.2847535052933        2.23606797749979                                 5
132         548.4937783740354        0.0                                 0
133         548.4937783740354        2.23606797749979                                 5
134         528.2987656957915        0.0                                 0
135         528.2987656957915        2.23606797749979                                 5
136         427.9376544531085        0.0                                 0
137         408.8222455774538        0.0                                 0
138         408.8222455774538        2.23606797749979                                 5
139         408.8222455774538        2.23606797749979                                 5
140         408.8222455774538        2.23606797749979                                 5
141         408.8222455774538        2.23606797749979                                 5
142         407.7829443674824        0.0                                 0
143         407.7829443674824        2.23606797749979                                 5
144         383.4305218676175        0.0                                 0
145         383.4305218676175        2.23606797749979                                 5
146         383.4305218676175        2.23606797749979                                 5
147         383.4305218676175        2.23606797749979                                 5
148         383.4305218676175        2.23606797749979                                 5
149         383.4305218676175        2.23606797749979                                 5
150         383.4305218676175        2.23606797749979                                 5
151         383.4305218676175        2.23606797749979                                 5
152         383.4305218676175        2.23606797749979                                 5
153         380.89492865028194        0.0                                 0
154         379.99120140952243        0.0                                 0
155         379.99120140952243        2.23606797749979                                 5
156         351.35478367379864        0.0                                 0
157         351.35478367379864        2.23606797749979                                 5
158         351.35478367379864        2.23606797749979                                 5
159         351.35478367379864        2.23606797749979                                 5
160         351.35478367379864        2.23606797749979                                 5
161         351.35478367379864        2.23606797749979                                 5
162         351.35478367379864        2.23606797749979                                 5
163         351.35478367379864        2.23606797749979                                 5
164         351.35478367379864        2.23606797749979                                 5
165         351.35478367379864        2.23606797749979                                 5
166         324.255678965001        0.0                                 0
167         324.255678965001        2.23606797749979                                 5
168         324.255678965001        2.23606797749979                                 5
169         324.255678965001        2.23606797749979                                 5
170         324.255678965001        2.23606797749979                                 5
171         323.72492708220847        0.0                                 0
172         323.72492708220847        2.23606797749979                                 5
173         323.72492708220847        2.23606797749979                                 5
174         323.72492708220847        2.23606797749979                                 5
175         323.72492708220847        2.23606797749979                                 5
176         323.72492708220847        2.23606797749979                                 5
177         323.72492708220847        0.0                                 0
178         322.9872424305606        0.0                                 0
179         322.9872424305606        2.23606797749979                                 5
180         322.9872424305606        2.23606797749979                                 5
181         322.9872424305606        2.23606797749979                                 5
182         322.9872424305606        2.23606797749979                                 5
183         321.40313288826275        0.0                                 0
184         321.40313288826275        2.23606797749979                                 5
185         321.40313288826275        2.23606797749979                                 5
186         320.80618330345544        0.0                                 0
187         320.80618330345544        2.23606797749979                                 5
188         320.138647335187        0.0                                 0
189         320.138647335187        2.23606797749979                                 5
190         320.138647335187        2.23606797749979                                 5
191         320.1259624875657        0.0                                 0
192         320.1259624875657        2.23606797749979                                 5
193         320.1259624875657        2.23606797749979                                 5
194         320.1259624875657        2.23606797749979                                 5
195         320.1259624875657        2.23606797749979                                 5
196         319.6233883192553        0.0                                 0
197         319.6233883192553        1.7320508075688772                                 3
198         319.6233883192553        2.23606797749979                                 5
199         319.6233883192553        2.23606797749979                                 5
200         319.6233883192553        2.23606797749979                                 5
201         291.96654320573055        0.0                                 0
202         289.6481917051179        0.0                                 0
203         289.6481917051179        2.23606797749979                                 5
204         289.6481917051179        2.23606797749979                                 5
205         289.6481917051179        2.23606797749979                                 5
206         289.6481917051179        2.23606797749979                                 5
207         289.6481917051179        2.23606797749979                                 5
208         287.3803686100207        0.0                                 0
209         287.3803686100207        2.23606797749979                                 5
210         287.3803686100207        2.23606797749979                                 5
211         287.3803686100207        2.23606797749979                                 5
212         287.31697254912325        0.0                                 0
213         287.31697254912325        2.23606797749979                                 5
214         287.31697254912325        2.23606797749979                                 5
215         287.31697254912325        2.23606797749979                                 5
216         284.26977969108896        0.0                                 0
217         284.26977969108896        2.23606797749979                                 5
218         284.26977969108896        2.23606797749979                                 5
219         284.26977969108896        2.23606797749979                                 5
220         284.26977969108896        2.23606797749979                                 5
221         284.26977969108896        2.23606797749979                                 5
222         284.26977969108896        2.23606797749979                                 5
223         284.26977969108896        2.23606797749979                                 5
224         284.1333977891246        0.0                                 0
225         284.1333977891246        2.23606797749979                                 5
226         284.1333977891246        2.23606797749979                                 5
227         284.1333977891246        2.23606797749979                                 5
228         283.9666265469325        0.0                                 0
229         283.6428703469461        0.0                                 0
230         283.6428703469461        2.23606797749979                                 5
231         283.6428703469461        2.23606797749979                                 5
232         283.6428703469461        2.23606797749979                                 5
233         283.6428703469461        2.23606797749979                                 5
234         283.6428703469461        2.23606797749979                                 5
235         283.6428703469461        2.23606797749979                                 5
236         283.6428703469461        0.0                                 0
237         283.64599267831284        2.23606797749979                                 5
238         283.4032170684863        0.0                                 0
239         283.4032170684863        2.23606797749979                                 5
240         283.4032170684863        2.23606797749979                                 5
241         283.4032170684863        2.23606797749979                                 5
242         283.4032170684863        2.23606797749979                                 5
243         283.4032170684863        2.23606797749979                                 5
244         283.4032170684863        2.23606797749979                                 5
245         283.39523841247194        0.0                                 0
246         283.39523841247194        2.23606797749979                                 5
247         283.39523841247194        2.23606797749979                                 5
248         283.39523841247194        2.23606797749979                                 5
249         283.39523841247194        2.23606797749979                                 5
250         283.39523841247194        2.23606797749979                                 5
251         283.39523841247194        2.23606797749979                                 5
252         283.39523841247194        2.23606797749979                                 5
253         283.39523841247194        2.23606797749979                                 5
254         283.39523841247194        2.23606797749979                                 5
255         283.39523841247194        2.23606797749979                                 5
256         282.8816910172742        0.0                                 0
257         282.8816910172742        2.23606797749979                                 5
258         282.8816910172742        2.23606797749979                                 5
259         282.8816910172742        2.23606797749979                                 5
260         282.8816910172742        2.23606797749979                                 5
261         282.8816910172742        2.23606797749979                                 5
262         282.8816910172742        2.23606797749979                                 5
263         282.8816910172742        2.23606797749979                                 5
264         282.8816910172742        2.23606797749979                                 5
265         282.8816910172742        2.23606797749979                                 5
266         282.8816910172742        2.23606797749979                                 5
267         282.86671256004286        0.0                                 0
268         282.8451085396218        0.0                                 0
269         282.8451085396218        2.23606797749979                                 5
270         282.8451085396218        2.23606797749979                                 5
271         282.4429630902204        0.0                                 0
272         282.4426636713762        0.0                                 0
273         282.4426636713762        2.23606797749979                                 5
274         282.4426636713762        2.23606797749979                                 5
275         282.4426636713762        2.23606797749979                                 5
276         282.4426636713762        2.23606797749979                                 5
277         282.4426636713762        2.23606797749979                                 5
278         282.4426636713762        2.23606797749979                                 5
279         282.4426636713762        2.23606797749979                                 5
280         282.4426636713762        2.23606797749979                                 5
281         282.4426636713762        2.23606797749979                                 5
282         282.4426636713762        2.23606797749979                                 5
283         282.4426636713762        2.23606797749979                                 5
284         279.30955977740325        0.0                                 0
285         273.4076244104171        0.0                                 0
286         273.4076244104171        2.23606797749979                                 5
287         273.4076244104171        2.23606797749979                                 5
288         273.4076244104171        2.23606797749979                                 5
289         273.4076244104171        2.23606797749979                                 5
290         273.4076244104171        2.23606797749979                                 5
291         273.4076244104171        2.23606797749979                                 5
292         273.4076244104171        2.23606797749979                                 5
293         263.03964493566303        0.0                                 0
294         263.03964493566303        2.23606797749979                                 5
295         263.03964493566303        2.23606797749979                                 5
296         263.03964493566303        2.23606797749979                                 5
297         263.03964493566303        2.23606797749979                                 5
298         263.03964493566303        2.23606797749979                                 5
299         263.03964493566303        2.23606797749979                                 5
300         263.03964493566303        2.23606797749979                                 5
301         263.03964493566303        2.23606797749979                                 5
302         263.03964493566303        2.23606797749979                                 5
303         263.03964493566303        2.23606797749979                                 5
304         263.03964493566303        2.23606797749979                                 5
305         263.00366827806755        0.0                                 0
306         263.00366827806755        2.23606797749979                                 5
307         263.00366827806755        2.23606797749979                                 5
308         263.00366827806755        2.23606797749979                                 5
309         263.00366827806755        2.23606797749979                                 5
310         263.00366827806755        2.23606797749979                                 5
311         263.00366827806755        2.23606797749979                                 5
312         258.1822606204631        0.0                                 0
313         258.17809710857387        0.0                                 0
314         258.17809710857387        2.23606797749979                                 5
315         258.17809710857387        2.23606797749979                                 5
316         256.0768480479287        0.0                                 0
317         256.0768480479287        2.23606797749979                                 5
318         256.0768480479287        2.23606797749979                                 5
319         256.0768480479287        2.23606797749979                                 5
320         256.0768480479287        2.23606797749979                                 5
321         256.0768480479287        2.23606797749979                                 5
322         255.78453677350623        0.0                                 0
323         255.78453677350623        2.23606797749979                                 5
324         255.78453677350623        2.23606797749979                                 5
325         250.18201487161608        0.0                                 0
326         250.18201487161608        2.23606797749979                                 5
327         250.18201487161608        2.23606797749979                                 5
328         250.18201487161608        2.23606797749979                                 5
329         250.18201487161608        2.23606797749979                                 5
330         250.18201487161608        2.23606797749979                                 5
331         250.057856740201        0.0                                 0
332         250.057856740201        2.23606797749979                                 5
333         250.057856740201        2.23606797749979                                 5
334         250.057856740201        2.23606797749979                                 5
335         250.057856740201        2.23606797749979                                 5
336         250.057856740201        2.23606797749979                                 5
