iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         30.536628641138122         143.30297875098802                   42.059851763878505                   588.53597758885                                 9.913131313131313                                     0.2093218127199002
1         19.30531206342512         143.30297875098802                   100.38998846289547                   550.5813477613804                                 9.820808080808082                                     0.4228492587460141
2         13.90219414865548         143.30297875098802                   183.76473473039067                   514.1300577224345                                 9.693939393939393                                     0.6752992079846614
3         11.051564176819952         143.30297875098802                   304.9333682621167                   482.4535504599018                                 9.418787878787878                                     1.025165033954359
4         10.720316695001001         143.30297875098802                   482.87256609668844                   463.87959095871344                                 9.266464646464646                                     1.179152643708769
5         9.91979301563312         143.30297875098802                   747.8854521340668                   438.3479908464285                                 9.233737373737373                                     1.1952275164744628
6         9.91979301563312         143.30297875098802                   1142.9126371672198                   418.31745211673143                                 9.114141414141415                                     1.2740484844786022
7         9.91979301563312         143.30297875098802                   1733.6814697363834                   411.8374204662556                                 9.10020202020202                                     1.259498330126562
8         9.91979301563312         143.30297875098802                   2619.714529443393                   386.51958144094874                                 9.003434343434343                                     1.3290714964597103
9         8.012944946075482         143.30297875098802                   3946.5668388483855                   373.71482974503846                                 8.85919191919192                                     1.4368006221524365
10         8.012944946075482         143.30297875098802                   5935.749882043512                   343.3195092120532                                 8.56020202020202                                     1.6086583243065373
11         8.012944946075482         143.30297875098802                   8917.058118144621                   351.49414195231725                                 8.513939393939394                                     1.5631920010034372
12         6.203716832354674         143.30297875098802                   13389.632319157536                   350.87811420781725                                 8.546868686868686                                     1.547558289269458
13         4.274663786003297         143.30297875098802                   20098.72657966807                   349.30076952500053                                 8.756161616161616                                     1.4660152601949066
14         4.274663786003297         143.30297875098802                   30161.977683251112                   330.39575962124286                                 8.648282828282829                                     1.4907328086281584
15         4.274663786003297         143.30297875098802                   45255.653950025015                   333.65279255337487                                 8.626060606060607                                     1.517425378204217
16         4.087522444404365         143.30297875098802                   67896.51436072045                   298.19160467867715                                 8.583838383838383                                     1.5207085111736618
17         4.087522444404365         143.30297875098802                   101855.3582444157                   325.7377228355733                                 8.716161616161616                                     1.4719322313873524
18         4.087522444404365         143.30297875098802                   152795.31895187445                   313.66863315246786                                 8.644848484848485                                     1.529009480947206
19         4.087522444404365         143.30297875098802                   229204.4759146293                   316.6053509157537                                 8.657979797979799                                     1.5014942610896391
20         2.9459759776164645         143.30297875098802                   343818.541966496                   296.386740730524                                 8.438989898989899                                     1.573773271242266
21         2.8815591737620503         143.30297875098802                   515738.479873057                   283.96189318052006                                 8.196969696969697                                     1.6676205385058125
22         2.808169672986398         143.30297875098802                   773617.4812999975                   272.6408994656015                                 8.083838383838383                                     1.6481114362094433
23         2.689091479800616         143.30297875098802                   1160435.9081662605                   278.2843538366779                                 8.29111111111111                                     1.5955966319471648
24         2.689091479800616         143.30297875098802                   1740663.702501395                   274.89033981151675                                 8.238383838383838                                     1.6326957039107592
25         2.442371565635519         143.30297875098802                   2611005.0430049705                   263.99031391029723                                 8.308080808080808                                     1.6149998457411068
26         2.442371565635519         143.30297875098802                   3916516.3438407434                   276.6999684968953                                 8.334949494949495                                     1.582521524757692
27         2.442371565635519         143.30297875098802                   5874784.107448002                   273.67761776900716                                 8.239797979797979                                     1.617270587392037
28         1.9425295548307906         143.30297875098802                   8812185.377924686                   273.1405358657969                                 8.253939393939394                                     1.6369100559089158
29         1.0563585277723364         143.30297875098802                   13218287.293590697                   263.3171182115998                                 8.234545454545454                                     1.6494796647986996
30         0.8735151663130784         143.30297875098802                   19827439.376077697                   243.06427159428668                                 7.8557575757575755                                     1.8036644931208703
31         0.8735151663130784         143.30297875098802                   29741166.33843717                   239.35784911540676                                 7.721818181818182                                     1.791275366643791
32         0.8735151663130784         143.30297875098802                   44611756.60459831                   222.48361506615282                                 7.341414141414141                                     1.8288504870298732
33         0.8735151663130784         143.30297875098802                   66917641.04840885                   225.66143201551714                                 7.060808080808081                                     1.8788524572888083
34         0.8735151663130784         143.30297875098802                   100376468.01247743                   198.7551469081069                                 6.356969696969697                                     1.971304556408564
35         0.8735151663130784         143.30297875098802                   150564707.09374338                   209.17432586660794                                 6.345656565656566                                     1.9778488657263202
36         0.8735151663130784         143.30297875098802                   225847066.30342484                   217.12463812654704                                 6.019191919191919                                     1.9033915193487048
37         0.8205195923213742         143.30297875098802                   338770605.40710455                   204.16865426705797                                 5.843030303030303                                     1.9047147629104453
38         0.6424212498893227         143.30297875098802                   508155913.6173396                   211.41087507484295                                 6.096565656565657                                     1.9866688369292862
